Year,Species,Biomass,catch
1,Herring,2350000,663804.9883
2,Herring,3005840,748976.6857
3,Herring,3899040,816095.9159
4,Herring,5098930,1054598.329
5,Herring,6486790,1343326.97
6,Herring,8044580,2607891.42
7,Herring,8811140,4144605.681
8,Herring,8227730,4593080.549
9,Herring,6987240,3404600.132
10,Herring,6430330,3300933.402
11,Herring,5739620,3159520.945
12,Herring,4874700,2622624.68
13,Herring,4246500,2757304.17
14,Herring,3254950,1759608.802
15,Herring,2871000,1655409.705
16,Herring,2454450,1393198.587
17,Herring,2103500,754683.8445
18,Herring,2230490,797505.4215
19,Herring,2342000,511335.8613
20,Herring,2768290,821343.0942
21,Herring,3044860,512501.4869
22,Herring,3738350,537702.6078
23,Herring,4669310,657320.6338
24,Herring,5834160,713384.7225
25,Herring,7272140,861323.1822
26,Herring,8981730,880198.7877
27,Herring,11078300,1456691.079
28,Herring,12972000,1368419.457
29,Herring,15237600,1217196.212
30,Herring,17958500,912879.2228
31,Herring,21164400,1065372.429
32,Herring,24284100,8131002.275
33,Herring,20439100,4911455.358
34,Herring,19932400,4127242.995
35,Herring,20131600,6619846.705
36,Herring,17905600,6805955.048
37,Herring,15529700,7293333.869
38,Herring,12926600,2108700.263
39,Herring,15045000,2150401.074
40,Herring,17755000,2451103.443
41,Herring,20755200,2849494.012
42,Herring,23773900,2810251.301
43,Herring,27271200,3482571.894
44,Herring,30297800,3480987.797
45,Herring,33316500,3422541.207
46,Herring,37160700,3998228.565
47,Herring,40577500,3651179.25
48,Herring,44442000,3482967.918
49,Herring,47365500,4397685.099
50,Herring,48188700,2276351.11
1,Cod,540164,195256.8
2,Cod,553904,129210
3,Cod,634447,92407.44
4,Cod,739277,121147.2
5,Cod,801728,124200
6,Cod,838906,142440
7,Cod,851219,179779.2
8,Cod,813397,107884.8
9,Cod,840746,113140.92
10,Cod,833041,81359.88
11,Cod,860872,106131.12
12,Cod,829914,132908.4
13,Cod,782020,128470.8
14,Cod,735074,185246.4
15,Cod,622937,106419.48
16,Cod,594741,109804.08
17,Cod,554377,78658.92
18,Cod,540508,87017.52
19,Cod,509433,107869.68
20,Cod,442225,132410.4
21,Cod,357256,126709.2
22,Cod,269025,138854.4
23,Cod,166738,36889.6
24,Cod,158275,41967.36
25,Cod,141309,27299.32
26,Cod,136108,15082.722
27,Cod,138616,16345.35
28,Cod,138122,26672.4
29,Cod,127694,20162.88
30,Cod,121151,18109.8
31,Cod,115254,24592.14
32,Cod,102339,17203.8816
33,Cod,97679,18322.16112
34,Cod,90021.9,15777.07632
35,Cod,82920.5,8575.034544
36,Cod,83531.6,11206.01304
37,Cod,81404.8,18463.41216
38,Cod,75450.2,14686.57397
39,Cod,72220.1,15494.84365
40,Cod,67906.6,11423.38523
41,Cod,68243.2,14822.96497
42,Cod,65471.6,16011.30956
43,Cod,61809.1,16167.96105
44,Cod,57733.1,15913.04538
45,Cod,53194.3,15135.17672
46,Cod,50761.7,13952.7235
47,Cod,50716.1,12891.73829
48,Cod,52815.8,13006.77318
49,Cod,54820.2,12212.01392
50,Cod,57136.8,13783.69979
1,Goosefish,65000,10600
2,Goosefish,76147.1,9328
3,Goosefish,91136.2,6776
4,Goosefish,109918,10208
5,Goosefish,125048,13068
6,Goosefish,136594,14036
7,Goosefish,146360,10604
8,Goosefish,159294,11308
9,Goosefish,173334,10054
