Year,Species,Biomass,catch
10,Goosefish,187021,8360
11,Goosefish,202144,14652
12,Goosefish,208147,11506
13,Goosefish,218573,7880
14,Goosefish,234554,7500
15,Goosefish,252181,6200
16,Goosefish,276951,5260
17,Goosefish,301162,8060
18,Goosefish,321468,7860
19,Goosefish,338683,9000
20,Goosefish,353396,10640
21,Goosefish,369353,16960
22,Goosefish,383619,24400
23,Goosefish,396231,27040
24,Goosefish,414460,35520
25,Goosefish,419777,31760
26,Goosefish,429262,26080
27,Goosefish,441950,28320
28,Goosefish,447608,31120
29,Goosefish,448434,28400
30,Goosefish,453057,31520
31,Goosefish,453686,46160
32,Goosefish,440229,39200
33,Goosefish,440375,32320
34,Goosefish,447959,41840
35,Goosefish,444332,52000
36,Goosefish,432784,94800
37,Goosefish,382304,55600
38,Goosefish,385395,86400
39,Goosefish,357651,82000
40,Goosefish,340350,77400
41,Goosefish,330843,89568
42,Goosefish,310385,84384
43,Goosefish,297442,81792
44,Goosefish,288286,128160
45,Goosefish,233514,104832
46,Goosefish,201232,101952
47,Goosefish,168441,59904
48,Goosefish,171955,56736
49,Goosefish,179248,61632
50,Goosefish,182946,80640
1,Yellowtail,453334,170745.6
2,Yellowtail,440176,84907.2
3,Yellowtail,522214,51999.6
4,Yellowtail,598414,60718.8
5,Yellowtail,643853,64761.2
6,Yellowtail,654055,70809.2
7,Yellowtail,670563,52706.8
8,Yellowtail,689284,93048.8
9,Yellowtail,647316,74235.6
10,Yellowtail,607255,87634
11,Yellowtail,593381,91996
12,Yellowtail,545838,27986.4
13,Yellowtail,588721,29666.4
14,Yellowtail,600306,39284.8
15,Yellowtail,579132,43228.4
16,Yellowtail,552323,31143.2
17,Yellowtail,546766,33343.6
18,Yellowtail,544545,33281.8
19,Yellowtail,539087,35290.2
20,Yellowtail,503617,27534.8
21,Yellowtail,502405,44932.8
22,Yellowtail,458085,36169
23,Yellowtail,440322,11745.12
24,Yellowtail,453802,26999.232
25,Yellowtail,446695,14063.712
26,Yellowtail,450191,13107.168
27,Yellowtail,433067,21463.776
28,Yellowtail,410130,21073.92
29,Yellowtail,400949,13351.776
30,Yellowtail,390359,15503.808
31,Yellowtail,377024,20992.128
32,Yellowtail,360863,17524.608
33,Yellowtail,355779,20316.576
34,Yellowtail,339104,21633.024
35,Yellowtail,319298,14947.12032
36,Yellowtail,315542,12328.29312
37,Yellowtail,309129,13570.27584
38,Yellowtail,304779,22675.5936
39,Yellowtail,291227,24582.21132
40,Yellowtail,268617,32190.96545
41,Yellowtail,243928,30143.20119
42,Yellowtail,223585,25167.28996
43,Yellowtail,208945,21215.97815
44,Yellowtail,198359,50678.87489
45,Yellowtail,157171,29282.55316
46,Yellowtail,139401,34326.57923
47,Yellowtail,118776,28406.76677
48,Yellowtail,103101,18853.14091
49,Yellowtail,95420.3,30929.75189
50,Yellowtail,73816.4,22951.06788
